"","x"
"285","CPC007_A549_24H:BRD-K61248029-001-05-2:10"
"286","CPC007_A549_24H:BRD-K63569039-001-04-0:10"
"287","CPC007_A549_24H:BRD-K69304050-001-05-7:10"
"288","CPC007_A549_24H:BRD-K70415218-001-05-7:10"
"289","CPC007_A549_24H:BRD-K71172276-001-05-2:10"
"290","CPC007_A549_24H:BRD-K71265179-001-07-8:10"
"291","CPC007_A549_24H:BRD-K73610817-001-06-3:10"
"292","CPC007_A549_24H:BRD-K76933066-001-04-9:10"
"293","CPC007_A549_24H:BRD-K81418486-001-21-0:10"
"294","CPC007_A549_24H:BRD-K82566177-001-05-2:10"
"295","CPC007_A549_24H:BRD-K83213280-001-07-0:10"
"296","CPC007_A549_24H:BRD-K84203638-019-03-0:10"
"297","CPC007_A549_24H:BRD-K86456986-001-05-3:10"
"298","CPC007_A549_24H:BRD-K86693415-001-07-8:10"
"299","CPC007_A549_24H:BRD-K87964538-001-07-4:10"
"300","CPC009_A549_24H:BRD-A69512159-002-02-2:10"
"301","CPC009_A549_24H:BRD-K24281017-001-03-8:10"
"302","CPC009_A549_24H:BRD-K39866321-001-04-8:10"
"303","CPC009_A549_24H:BRD-K43267173-001-01-8:10"
"304","CPC009_A549_24H:BRD-K55070890-001-02-1:10"
"305","CPC009_A549_24H:BRD-K58982513-001-01-3:10"
"306","CPC009_A549_24H:BRD-K59139557-001-01-6:10"
"307","CPC009_A549_24H:BRD-K75477256-001-01-4:10"
"308","CPC009_A549_24H:BRD-K94390040-019-01-9:10"
"309","CPC010_A549_24H:BRD-A61189834-001-02-2:10"
"310","CPC010_A549_24H:BRD-K21822525-019-02-1:10"
"311","CPC010_A549_24H:BRD-K53423944-001-06-1:10"
"312","CPC011_A549_24H:BRD-A01787639-001-03-1:10"
"313","CPC011_A549_24H:BRD-A19500257:10"
"314","CPC011_A549_24H:BRD-A39052811-048-07-8:10"
"315","CPC011_A549_24H:BRD-A56359832-001-08-7:10"
"316","CPC011_A549_24H:BRD-A64297288-001-07-0:10"
"317","CPC011_A549_24H:BRD-A67552655-001-04-7:10"
"318","CPC011_A549_24H:BRD-K01649396-003-05-5:10"
"319","CPC011_A549_24H:BRD-K11630072-001-09-0:10"
"320","CPC011_A549_24H:BRD-K15916496-001-23-8:10"
"321","CPC011_A549_24H:BRD-K19352500-050-02-7:10"
"322","CPC011_A549_24H:BRD-K19507340-001-18-9:10"
"323","CPC011_A549_24H:BRD-K20168484-001-05-0:10"
"324","CPC011_A549_24H:BRD-K23369905-008-01-6:10"
"325","CPC011_A549_24H:BRD-K33106058-001-12-7:10"
"326","CPC011_A549_24H:BRD-K33312228-001-04-3:10"
"327","CPC011_A549_24H:BRD-K37270826-001-20-1:10"
"328","CPC011_A549_24H:BRD-K37991163-050-13-5:10"
"329","CPC011_A549_24H:BRD-K39983086-001-04-6:10"
"330","CPC011_A549_24H:BRD-K49111258-311-05-4:10"
"331","CPC011_A549_24H:BRD-K50866992-003-07-9:10"
"332","CPC011_A549_24H:BRD-K51095933-236-04-9:10"
"333","CPC011_A549_24H:BRD-K59256312-066-10-8:10"
"334","CPC011_A549_24H:BRD-K60038276-001-05-8:10"
"335","CPC011_A549_24H:BRD-K62310379-001-08-9:10"
"336","CPC011_A549_24H:BRD-K63265447-001-05-8:10"
"337","CPC011_A549_24H:BRD-K66615216-003-09-8:10"
"338","CPC011_A549_24H:BRD-K66876909-001-07-6:10"
"339","CPC011_A549_24H:BRD-K70358946-001-11-6:10"
"340","CPC011_A549_24H:BRD-K73991644-001-05-8:10"
"341","CPC011_A549_24H:BRD-K74117820-066-08-2:10"
"342","CPC011_A549_24H:BRD-K77771411-003-08-1:10"
"343","CPC011_A549_24H:BRD-K81169441-236-06-6:10"
"344","CPC011_A549_24H:BRD-K82109576-065-20-2:10"
"345","CPC011_A549_24H:BRD-K86003836-001-06-3:10"
"346","CPC011_A549_24H:BRD-K93618743-001-14-5:10"
"347","CPC011_A549_24H:BRD-K94441233-001-09-8:10"
"348","CPC011_A549_24H:BRD-K96471533-001-04-1:10"
"349","CPC011_A549_24H:BRD-K97514127-045-02-0:10"
"350","CPC013_A549_24H:BRD-K07881437-001-01-2:10"
"351","CPC013_A549_24H:BRD-K09854848-001-01-0:10"
"352","CPC013_A549_24H:BRD-K15592317-001-01-0:10"
"353","CPC013_A549_24H:BRD-K29905972-001-03-0:10"
"354","CPC013_A549_24H:BRD-K45818044-001-01-3:10"
"355","CPC013_A549_24H:BRD-K47832606-001-13-7:10"
"356","CPC013_A549_24H:BRD-K49328571-001-04-4:10"
"357","CPC013_A549_24H:BRD-K59369769-001-07-0:10"
"358","CPC013_A549_24H:BRD-K63068307-001-01-4:10"
"359","CPC013_A549_24H:BRD-K64881305-001-01-1:10"
"360","CPC013_A549_24H:BRD-K66175015-001-01-7:10"
"361","CPC013_A549_24H:BRD-K72451865-001-01-5:10"
"362","CPC013_A549_24H:BRD-K76236182-001-01-2:10"
"363","CPC013_A549_24H:BRD-K76938712-001-01-2:10"
"364","CPC013_A549_24H:BRD-K77908580-001-04-7:10"
"365","CPC013_A549_24H:BRD-K89839824-001-01-2:10"
"366","CPC013_A549_24H:BRD-K93215584-001-01-9:10"
"367","CPC013_A549_24H:BRD-K97764662-001-08-2:10"
"368","CPC014_A549_24H:BRD-K37846922-001-07-8:10"
"369","CPC014_A549_24H:BRD-K61463582-001-03-1:10"
"370","CPC014_A549_24H:BRD-K62012036-001-06-0:10"
"371","CPC014_A549_24H:BRD-K64052750-001-04-3:10"
"372","CPC014_A549_24H:BRD-K64857848-001-02-3:10"
"373","CPC014_A549_24H:BRD-K77390737-001-03-2:10"
"374","CPC014_A549_24H:BRD-K83972459-001-01-9:10"
"375","CPC014_A549_24H:BRD-M30523314-002-01-5:10"
"376","CPC014_A549_24H:BRD-M64432851-001-01-9:10"
"377","CPC015_A549_24H:BRD-A26095496-001-03-2:10"
"378","CPC015_A549_24H:BRD-A27554692-001-01-3:10"
"379","CPC015_A549_24H:BRD-A27887842-001-03-2:10"
"380","CPC015_A549_24H:BRD-A48570745-001-01-1:10"
"381","CPC015_A549_24H:BRD-A49160188-003-04-4:10"
"382","CPC015_A549_24H:BRD-A75172220-001-03-2:10"
"383","CPC015_A549_24H:BRD-K19136521-001-03-0:10"
"384","CPC015_A549_24H:BRD-K21565985-001-15-9:10"
"385","CPC015_A549_24H:BRD-K22134346-001-11-6:10"
"386","CPC015_A549_24H:BRD-K34415467-003-08-0:10"
"387","CPC015_A549_24H:BRD-K36198571-001-01-2:10"
"388","CPC015_A549_24H:BRD-K66296774-001-02-0:10"
"389","CPC015_A549_24H:BRD-K75958195-037-04-5:10"
"390","CPC015_A549_24H:BRD-K95435023-001-01-0:10"
"391","CPC016_A549_24H:BRD-A06352508-001-02-9:10"
"392","CPC016_A549_24H:BRD-A22783572-065-01-3:10"
"393","CPC016_A549_24H:BRD-K37865504-001-01-7:10"
"394","CPC016_A549_24H:BRD-K42221274-003-02-8:10"
"395","CPC016_A549_24H:BRD-K79353516-001-03-5:10"
"396","CPC016_A549_24H:BRD-K87510569-001-01-0:10"
"397","CPC016_A549_24H:BRD-K97365803-001-01-3:10"
"398","CPC017_A549_24H:BRD-A09828896-004-04-5:10"
"399","CPC017_A549_24H:BRD-A32949107-001-01-7:10"
"400","CPC017_A549_24H:BRD-A37704979-001-04-0:10"
"401","CPC017_A549_24H:BRD-A54927599-001-07-8:10"
"402","CPC017_A549_24H:BRD-A62184259-001-02-8:10"
"403","CPC017_A549_24H:BRD-A62336480-001-02-5:10"
"404","CPC017_A549_24H:BRD-A63894585-001-03-4:10"
"405","CPC017_A549_24H:BRD-A80502530-001-01-2:10"
"406","CPC017_A549_24H:BRD-A93236127-001-03-7:10"
"407","CPC017_A549_24H:BRD-K05151076-001-01-8:10"
"408","CPC017_A549_24H:BRD-K08502430-001-01-0:10"
"409","CPC017_A549_24H:BRD-K09549677-300-01-8:10"
"410","CPC017_A549_24H:BRD-K12516989-001-01-9:10"
"411","CPC017_A549_24H:BRD-K13533483-001-03-0:10"
"412","CPC017_A549_24H:BRD-K13646352-001-01-2:10"
"413","CPC017_A549_24H:BRD-K17743697-066-02-8:10"
"414","CPC017_A549_24H:BRD-K23478508-001-03-7:10"
"415","CPC017_A549_24H:BRD-K23922020-075-01-1:10"
"416","CPC017_A549_24H:BRD-K24132293-001-13-7:10"
"417","CPC017_A549_24H:BRD-K26669427-001-01-0:10"
"418","CPC017_A549_24H:BRD-K27737647-300-01-4:10"
"419","CPC017_A549_24H:BRD-K43330982-001-01-5:10"
"420","CPC017_A549_24H:BRD-K48970916-001-03-0:10"
"421","CPC017_A549_24H:BRD-K52850071-001-01-2:10"
"422","CPC017_A549_24H:BRD-K58938839-001-03-8:10"
"423","CPC017_A549_24H:BRD-K59469039-001-03-1:10"
"424","CPC017_A549_24H:BRD-K60476892-001-02-1:10"
"425","CPC017_A549_24H:BRD-K61323504-001-02-4:10"
"426","CPC017_A549_24H:BRD-K62353524-001-01-8:10"
"427","CPC017_A549_24H:BRD-K63913457-001-02-7:10"
"428","CPC017_A549_24H:BRD-K66707493-001-02-6:10"
"429","CPC017_A549_24H:BRD-K67860401-001-01-5:10"
"430","CPC017_A549_24H:BRD-K68507560-003-15-4:10"
"431","CPC017_A549_24H:BRD-K81225797-001-01-5:10"
"432","CPC017_A549_24H:BRD-K94176593-001-02-9:10"
"433","CPC017_A549_24H:BRD-K95785537-001-09-0:10"
"434","CPC018_A549_24H:BRD-K15522385-003-01-0:10"
"435","CPC018_A549_24H:BRD-K17796732-001-02-0:10"
"436","CPC018_A549_24H:BRD-K20141153-003-03-8:10"
"437","CPC018_A549_24H:BRD-K47105409-001-09-5:10"
"438","CPC018_A549_24H:BRD-K76587808-001-03-8:10"
"439","CPC019_A549_24H:BRD-A53746180-001-02-9:10"
"440","CPC019_A549_24H:BRD-K01229043-001-01-6:10"
"441","CPC019_A549_24H:BRD-K07452532-001-01-6:10"
"442","CPC019_A549_24H:BRD-K22931010-001-02-9:10"
"443","CPC019_A549_24H:BRD-K24861700-001-01-3:10"
