"","x"
"432","CPC012_MCF7_24H:BRD-K62169556-001-01-9:10"
"433","CPC012_MCF7_24H:BRD-K63175663-001-01-5:10"
"434","CPC012_MCF7_24H:BRD-K65050353-001-01-3:10"
"435","CPC012_MCF7_24H:BRD-K69496360-001-01-5:10"
"436","CPC012_MCF7_24H:BRD-K72161580-001-01-4:10"
"437","CPC012_MCF7_24H:BRD-K73155123-001-01-9:10"
"438","CPC012_MCF7_24H:BRD-K74710236-001-02-2:10"
"439","CPC012_MCF7_24H:BRD-K81795824-001-01-4:10"
"440","CPC012_MCF7_24H:BRD-K82837433-001-01-6:10"
"441","CPC012_MCF7_24H:BRD-K82971429-001-01-9:10"
"442","CPC012_MCF7_24H:BRD-K89626439-001-01-0:10"
"443","CPC012_MCF7_24H:BRD-K98731749-001-01-2:10"
"444","CPC013_MCF7_24H:BRD-A19500257:10"
"445","CPC013_MCF7_24H:BRD-A47706533-001-01-8:10"
"446","CPC013_MCF7_24H:BRD-A60386802-001-01-5:10"
"447","CPC013_MCF7_24H:BRD-A75409952:10"
"448","CPC013_MCF7_24H:BRD-A81530502-001-01-6:10"
"449","CPC013_MCF7_24H:BRD-A95820578-001-01-4:10"
"450","CPC013_MCF7_24H:BRD-K05323277-001-05-1:10"
"451","CPC013_MCF7_24H:BRD-K06765193-001-05-3:10"
"452","CPC013_MCF7_24H:BRD-K07888107-001-01-6:10"
"453","CPC013_MCF7_24H:BRD-K09485525-001-01-3:10"
"454","CPC013_MCF7_24H:BRD-K11636097-001-01-5:10"
"455","CPC013_MCF7_24H:BRD-K14444135-001-01-5:10"
"456","CPC013_MCF7_24H:BRD-K15592317-001-01-0:10"
"457","CPC013_MCF7_24H:BRD-K15600710-066-01-7:10"
"458","CPC013_MCF7_24H:BRD-K19166598-001-01-9:10"
"459","CPC013_MCF7_24H:BRD-K22096725-001-01-9:10"
"460","CPC013_MCF7_24H:BRD-K22322324-001-01-4:10"
"461","CPC013_MCF7_24H:BRD-K28120222-001-05-0:10"
"462","CPC013_MCF7_24H:BRD-K28789065-001-01-1:10"
"463","CPC013_MCF7_24H:BRD-K29733039-001-01-1:10"
"464","CPC013_MCF7_24H:BRD-K35638681-001-01-5:10"
"465","CPC013_MCF7_24H:BRD-K35687265-236-01-8:10"
"466","CPC013_MCF7_24H:BRD-K41925105-001-01-6:10"
"467","CPC013_MCF7_24H:BRD-K42687792-001-01-9:10"
"468","CPC013_MCF7_24H:BRD-K45818044-001-01-3:10"
"469","CPC013_MCF7_24H:BRD-K49810818-001-01-0:10"
"470","CPC013_MCF7_24H:BRD-K49861754-001-04-3:10"
"471","CPC013_MCF7_24H:BRD-K51967704-001-01-0:10"
"472","CPC013_MCF7_24H:BRD-K56287385-001-01-4:10"
"473","CPC013_MCF7_24H:BRD-K59460069-001-01-7:10"
"474","CPC013_MCF7_24H:BRD-K64881305-001-01-1:10"
"475","CPC013_MCF7_24H:BRD-K67808578-001-01-1:10"
"476","CPC013_MCF7_24H:BRD-K68344511-001-02-4:10"
"477","CPC013_MCF7_24H:BRD-K71823332-001-01-1:10"
"478","CPC013_MCF7_24H:BRD-K72192970-001-01-7:10"
