"","x"
"304","CPC006_PC3_24H:C03"
"305","CPC006_PC3_24H:C04"
"306","CPC006_PC3_24H:C07"
"307","CPC006_PC3_24H:C08"
"308","CPC006_PC3_24H:C11"
"309","CPC006_PC3_24H:C12"
"310","CPC006_PC3_24H:C13"
"311","CPC006_PC3_24H:C14"
"312","CPC006_PC3_24H:C15"
"313","CPC006_PC3_24H:E02"
"314","CPC006_PC3_24H:E08"
"315","CPC006_PC3_24H:E21"
"316","CPC006_PC3_24H:E23"
"317","CPC006_PC3_24H:F09"
"318","CPC006_PC3_24H:G02"
"319","CPC006_PC3_24H:G03"
"320","CPC006_PC3_24H:G12"
"321","CPC006_PC3_24H:G17"
"322","CPC006_PC3_24H:G20"
"323","CPC006_PC3_24H:G24"
"324","CPC006_PC3_24H:H15"
"325","CPC006_PC3_24H:H17"
"326","CPC006_PC3_24H:I05"
"327","CPC006_PC3_24H:I06"
"328","CPC006_PC3_24H:I12"
"329","CPC006_PC3_24H:I22"
"330","CPC006_PC3_24H:J01"
"331","CPC006_PC3_24H:J03"
"332","CPC006_PC3_24H:J05"
"333","CPC006_PC3_24H:J07"
"334","CPC006_PC3_24H:J21"
"335","CPC006_PC3_24H:J22"
"336","CPC006_PC3_24H:J23"
"337","CPC006_PC3_24H:J24"
"338","CPC006_PC3_24H:K02"
"339","CPC006_PC3_24H:K06"
"340","CPC006_PC3_24H:K13"
"341","CPC006_PC3_24H:K16"
"342","CPC006_PC3_24H:K17"
"343","CPC006_PC3_24H:K18"
"344","CPC006_PC3_24H:K21"
"345","CPC006_PC3_24H:K22"
"346","CPC006_PC3_24H:L01"
"347","CPC006_PC3_24H:L02"
"348","CPC006_PC3_24H:L07"
"349","CPC006_PC3_24H:L12"
"350","CPC006_PC3_24H:L13"
"351","CPC006_PC3_24H:L21"
"352","CPC006_PC3_24H:M01"
"353","CPC006_PC3_24H:M03"
"354","CPC006_PC3_24H:M04"
"355","CPC006_PC3_24H:M05"
"356","CPC006_PC3_24H:M06"
"357","CPC006_PC3_24H:M13"
"358","CPC006_PC3_24H:M18"
"359","CPC006_PC3_24H:M19"
"360","CPC006_PC3_24H:M21"
"361","CPC006_PC3_24H:N05"
"362","CPC006_PC3_24H:N11"
"363","CPC006_PC3_24H:N18"
"364","CPC006_PC3_24H:N21"
"365","CPC006_PC3_24H:N24"
"366","CPC006_PC3_24H:O05"
"367","CPC006_PC3_24H:O06"
"368","CPC006_PC3_24H:O09"
"369","CPC006_PC3_24H:O13"
"370","CPC006_PC3_24H:O19"
"371","CPC006_PC3_24H:P05"
"372","CPC006_PC3_24H:P18"
"373","CPC007_PC3_24H:BRD-A24021119-001-06-0:10"
"374","CPC007_PC3_24H:BRD-A39093044-001-09-6:10"
"375","CPC007_PC3_24H:BRD-K05326558-001-07-0:10"
"376","CPC007_PC3_24H:BRD-K05402890-001-09-2:10"
"377","CPC007_PC3_24H:BRD-K19499941-001-09-1:10"
"378","CPC007_PC3_24H:BRD-K22546959-001-05-1:10"
"379","CPC007_PC3_24H:BRD-K23673040-001-12-9:10"
"380","CPC007_PC3_24H:BRD-K32862555-001-04-1:10"
"381","CPC007_PC3_24H:BRD-K39345836-001-05-8:10"
"382","CPC007_PC3_24H:BRD-K73610817-001-06-3:10"
